ticker
AAL
AAPL
ABT
ADT
AES
AG
AGNC
AMD
AMZN
ANET
APA
APH
ASTS
ASX
AVGO
AVTR
AXTI
B
BABA
BAC
BAX
BB
BCS
BE
BKNG
BKR
BMY
BORR
BP
BSX
BX
C
CAG
CCL
CDE
CHWY
CLF
CMCSA
CMG
CNH
CNQ
COHR
COP
CPB
CPRT
CRM
CSCO
CSX
CVE
CVNA
CVS
CVX
DAL
DELL
DIS
DKNG
DOC
DOW
DVN
EQNR
EQT
ERIC
ET
EXC
EXK
F
FAST
FCX
FITB
FSLY
GAP
GEN
GIS
GLW
GME
GOOG
GOOGL
GPK
GT
HAL
HBAN
HDB
HIMS
HL
HPE
HPQ
HST
IBRX
INFY
INTC
ITUB
JBLU
JD
JNJ
JPM
KDP
KEY
KGC
KHC
KMI
KO
LRCX
LUMN
LUV
LYB
LYFT
LYG
MCHP
MDLZ
MDT
META
MO
MOS
MRK
MRNA
MRVL
MSFT
MSTR
MU
NCLH
NEE
NEM
NFLX
NIO
NKE
NOK
NOW
NVDA
NVO
ON
ORCL
OXY
PANW
PBR
PBR-A
PCG
PFE
PG
PINS
PPL
PR
PSKY
PSLV
PTEN
PTON
PYPL
QCOM
QXO
RF
RIG
RITM
RUN
SAN
SBUX
SCHW
SHEL
SHOP
SLB
SMCI
SNAP
STLA
STM
T
TE
TEAM
TFC
TME
TSCO
TSLA
TSM
UAA
UAL
UAMY
UBER
UMC
UNH
USB
V
VALE
VFC
VICI
VNET
VRT
VTRS
VZ
WBD
WDC
WEN
WFC
WMT
WU
XOM
