ticker,company,sector,cluster,perfil,mean_pred_return,mean_vol_21d,mean_drawdown
TGT,Target Corporation,Consumer Staples,2,Moderado,0.010026486880375102,0.02037718671232277,-0.09617587690373075
TJX,TJX Companies,Consumer Discretionary,1,Conservador,-0.005192087648532127,0.010850328169015164,-0.027668868442200033
TKO,TKO Group Holdings,Communication Services,1,Conservador,0.005294665085631403,0.019158611384300247,-0.05625457576817882
TMO,Thermo Fisher Scientific,Health Care,1,Conservador,0.004698619004431366,0.016024257183370923,-0.09080447403198685
TMUS,T-Mobile US,Communication Services,1,Conservador,-0.0002172299093082631,0.013815388712121844,-0.06220723091116262
TPL,Texas Pacific Land Corporation,Energy,2,Moderado,0.018462800917374962,0.028275281901876278,-0.11591427471037491
TPR,"Tapestry, Inc.",Consumer Discretionary,2,Moderado,0.006965587593018711,0.023236227533984175,-0.06570284890183434
TRGP,Targa Resources,Energy,1,Conservador,0.0027954211807274523,0.017413831900675088,-0.0534576929367687
TRMB,Trimble Inc.,Information Technology,1,Conservador,0.005585722009507436,0.01765823877680902,-0.07245124880985067
TROW,T. Rowe Price,Financials,1,Conservador,0.003362949169824735,0.015701597483983625,-0.07164676503617792
TRV,Travelers Companies (The),Financials,1,Conservador,-0.0021183946314640763,0.013284120758588728,-0.03596411961447611
TSCO,Tractor Supply,Consumer Discretionary,1,Conservador,0.005367197358449012,0.01697952881155313,-0.07614407381391904
TSLA,"Tesla, Inc.",Consumer Discretionary,0,Arrojado,0.027813643001393516,0.03577231364582995,-0.14769635867908118
TSN,Tyson Foods,Consumer Staples,1,Conservador,-0.00023838425157253398,0.013904284200273205,-0.05489110061742198
TT,Trane Technologies,Industrials,1,Conservador,0.0016750043672651295,0.01603531646495379,-0.055705045178298815
TTD,Trade Desk (The),Communication Services,0,Arrojado,0.031208266045309588,0.03246799205871632,-0.1874600840783195
TTWO,Take-Two Interactive,Communication Services,1,Conservador,0.004427846666183519,0.016854205528018702,-0.06501916386218674
TXN,Texas Instruments,Information Technology,2,Moderado,0.006036960339313706,0.020803467848546395,-0.07858510447506116
TXT,Textron,Industrials,1,Conservador,0.0021743460447400985,0.015473045694021683,-0.06811184510777885
TYL,Tyler Technologies,Information Technology,2,Moderado,0.006903349457137927,0.01704591411819305,-0.08882060585807894
UAL,United Airlines Holdings,Industrials,2,Moderado,0.019566498121380484,0.02982189740327666,-0.10068123272340337
UBER,Uber,Industrials,2,Moderado,0.01260078191221385,0.023356400933937656,-0.09854689703720788
UDR,"UDR, Inc.",Real Estate,1,Conservador,0.00029176843278712594,0.012785691577340753,-0.05783985676952419
UHS,Universal Health Services,Health Care,2,Moderado,0.0077866137273874345,0.018939061394690766,-0.08601804183811432
ULTA,Ulta Beauty,Consumer Discretionary,2,Moderado,0.010861717274574578,0.02093207424964722,-0.09837051489032159
UNH,UnitedHealth Group,Health Care,2,Moderado,0.01189246871768366,0.02196170263484171,-0.12216179841609447
UNP,Union Pacific Corporation,Industrials,1,Conservador,-0.001488201083823987,0.012815938087547918,-0.05187812231392485
UPS,United Parcel Service,Industrials,2,Moderado,0.006276996075973327,0.01742862408091927,-0.10000025705143685
URI,United Rentals,Industrials,2,Moderado,0.01021784205878058,0.023213966498441426,-0.0895951485827677
USB,U.S. Bancorp,Financials,1,Conservador,0.002440675796077783,0.015810398620690506,-0.06424240201231601
V,Visa Inc.,Financials,1,Conservador,-0.002709077864803135,0.012211442432070825,-0.04533935015799251
VEEV,Veeva Systems,Health Care,2,Moderado,0.01051257674099427,0.02014817210689753,-0.10770555685137886
VICI,Vici Properties,Real Estate,1,Conservador,-0.0021673860935157436,0.011305083081096071,-0.05269167162483238
VLO,Valero Energy,Energy,2,Moderado,0.00794453491584137,0.020915369287639925,-0.07457457982192023
VLTO,Veralto,Industrials,1,Conservador,0.00022297905992138976,0.012867933983473117,-0.05306658467611027
VMC,Vulcan Materials Company,Materials,1,Conservador,0.0017673226452284859,0.015129923805896315,-0.06451478801709278
VRSK,Verisk Analytics,Industrials,1,Conservador,0.003046557788911017,0.01426537383087559,-0.07917074731090257
VRSN,Verisign,Information Technology,1,Conservador,0.000856668536142089,0.01381762074045085,-0.062303038085338124
VRT,Vertiv,Industrials,0,Arrojado,0.026046580632542275,0.03767402051782916,-0.103703262409989
VRTX,Vertex Pharmaceuticals,Health Care,1,Conservador,0.005771399003925635,0.01719994465292992,-0.07622904188763291
